,name,album,year,artists,track_id,image,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,You Give Love A Bad Name,Cross Road,1994-01-01,['Bon Jovi'],7LBJui5MdjfCd8YZr4xaqA,https://i.scdn.co/image/ab67616d0000b273167d8f960ad124d7f1da829f,0.556,0.945,0,-4.347,0,0.0496,0.0847,3.68e-06,0.394,0.781,122.875,audio_features,7LBJui5MdjfCd8YZr4xaqA,spotify:track:7LBJui5MdjfCd8YZr4xaqA,https://api.spotify.com/v1/tracks/7LBJui5MdjfCd8YZr4xaqA,https://api.spotify.com/v1/audio-analysis/7LBJui5MdjfCd8YZr4xaqA,224307,4
1,I Wanna Rock (Remastered Album Version),Stay Hungry [Deluxe 25th Anniversary Edition],2009-06-29,['Twisted Sister'],7zLC4HAY11GvvKsZHNrkAp,https://i.scdn.co/image/ab67616d0000b27350c39b0fb411a4d7aa7085ea,0.588,0.731,2,-8.299,1,0.0398,0.016,0.184,0.333,0.606,106.177,audio_features,7zLC4HAY11GvvKsZHNrkAp,spotify:track:7zLC4HAY11GvvKsZHNrkAp,https://api.spotify.com/v1/tracks/7zLC4HAY11GvvKsZHNrkAp,https://api.spotify.com/v1/audio-analysis/7zLC4HAY11GvvKsZHNrkAp,183373,4
2,The Humpty Dance,Sex Packets,1990,['Digital Underground'],4WxQGUmWBRNovxlF2g8Xdv,https://i.scdn.co/image/ab67616d0000b2739895a0a1d177fbdb91101423,0.813,0.693,10,-8.0,0,0.266,0.0341,0.0,0.121,0.618,103.508,audio_features,4WxQGUmWBRNovxlF2g8Xdv,spotify:track:4WxQGUmWBRNovxlF2g8Xdv,https://api.spotify.com/v1/tracks/4WxQGUmWBRNovxlF2g8Xdv,https://api.spotify.com/v1/audio-analysis/4WxQGUmWBRNovxlF2g8Xdv,391693,4
3,Don't Stop Believin',The Essential Journey,2001-10-16,['Journey'],77NNZQSqzLNqh2A9JhLRkg,https://i.scdn.co/image/ab67616d0000b2730f6ce5c138493ac768d9afc8,0.491,0.802,4,-7.106,1,0.0392,0.25,0.0,0.387,0.472,119.25,audio_features,77NNZQSqzLNqh2A9JhLRkg,spotify:track:77NNZQSqzLNqh2A9JhLRkg,https://api.spotify.com/v1/tracks/77NNZQSqzLNqh2A9JhLRkg,https://api.spotify.com/v1/audio-analysis/77NNZQSqzLNqh2A9JhLRkg,248907,4
4,You're The Best,The Karate Kid: The Original Motion Picture Soundtrack,1984,['Various Artists'],4zXa17K83Pp6N2yXdVc2sv,https://i.scdn.co/image/ab67616d0000b2735631dff79dceb723ab1e680d,0.571,0.863,4,-7.661,0,0.048,0.257,0.0,0.532,0.782,94.299,audio_features,4zXa17K83Pp6N2yXdVc2sv,spotify:track:4zXa17K83Pp6N2yXdVc2sv,https://api.spotify.com/v1/tracks/4zXa17K83Pp6N2yXdVc2sv,https://api.spotify.com/v1/audio-analysis/4zXa17K83Pp6N2yXdVc2sv,179667,4
5,Lick It Up,Smashes Thrashes & Hits,1988-01-01,['KISS'],2yl0M4cgQuZ3WftBvqnm3n,https://i.scdn.co/image/ab67616d0000b273694dc8db52fc630a9bf5d5e4,0.694,0.561,2,-12.594,1,0.0495,0.135,4.66e-06,0.306,0.644,120.325,audio_features,2yl0M4cgQuZ3WftBvqnm3n,spotify:track:2yl0M4cgQuZ3WftBvqnm3n,https://api.spotify.com/v1/tracks/2yl0M4cgQuZ3WftBvqnm3n,https://api.spotify.com/v1/audio-analysis/2yl0M4cgQuZ3WftBvqnm3n,234573,4
6,Paradise City,Greatest Hits,2004-03-23,"[""Guns N' Roses""]",5Fz2wrKAjhKpWeTwvE1Ct3,https://i.scdn.co/image/ab67616d0000b2734e04404c40be7b80855656a8,0.28,0.977,11,-5.488,1,0.127,0.0232,0.0158,0.138,0.475,100.409,audio_features,5Fz2wrKAjhKpWeTwvE1Ct3,spotify:track:5Fz2wrKAjhKpWeTwvE1Ct3,https://api.spotify.com/v1/tracks/5Fz2wrKAjhKpWeTwvE1Ct3,https://api.spotify.com/v1/audio-analysis/5Fz2wrKAjhKpWeTwvE1Ct3,406200,4
7,Tom Sawyer,Moving Pictures (2011 Remaster),1981-02-12,['Rush'],3QZ7uX97s82HFYSmQUAN1D,https://i.scdn.co/image/ab67616d0000b27372833c1ae3343cbfb4617073,0.536,0.901,9,-7.211,1,0.0374,0.00145,0.0186,0.06,0.666,87.559,audio_features,3QZ7uX97s82HFYSmQUAN1D,spotify:track:3QZ7uX97s82HFYSmQUAN1D,https://api.spotify.com/v1/tracks/3QZ7uX97s82HFYSmQUAN1D,https://api.spotify.com/v1/audio-analysis/3QZ7uX97s82HFYSmQUAN1D,276880,4
8,The Transformers Theme - Alternate Version,Transformers The Movie,1985,['Various Artists'],4rBuJ9ZWtNoP8uZK8Q558D,https://i.scdn.co/image/ab67616d0000b273bbdee1f99719f34e9ba185c5,0.523,0.887,4,-7.84,1,0.0424,0.0071,0.0729,0.653,0.672,155.26,audio_features,4rBuJ9ZWtNoP8uZK8Q558D,spotify:track:4rBuJ9ZWtNoP8uZK8Q558D,https://api.spotify.com/v1/tracks/4rBuJ9ZWtNoP8uZK8Q558D,https://api.spotify.com/v1/audio-analysis/4rBuJ9ZWtNoP8uZK8Q558D,159707,4
9,Dancing With Myself,Vital Idol,1985,['Billy Idol'],1BY1Vd2Bt6JPOhMvsIwtVv,https://i.scdn.co/image/ab67616d0000b273de3a001606041808a9217c40,0.51,0.696,4,-10.83,1,0.0802,0.0157,0.000104,0.297,0.905,176.568,audio_features,1BY1Vd2Bt6JPOhMvsIwtVv,spotify:track:1BY1Vd2Bt6JPOhMvsIwtVv,https://api.spotify.com/v1/tracks/1BY1Vd2Bt6JPOhMvsIwtVv,https://api.spotify.com/v1/audio-analysis/1BY1Vd2Bt6JPOhMvsIwtVv,359733,4
