,name,album,year,artists,track_id,image,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Somebody To Love - Remastered 2011,A Day At The Races (Deluxe Edition 2011 Remaster),1976-12-10,['Queen'],4rDbp1vnvEhieiccprPMdI,https://i.scdn.co/image/ab67616d0000b27367bc29c251c777361b17a190,0.406,0.698,8,-7.024,1,0.0624,0.186,0.0,0.233,0.333,109.266,audio_features,4rDbp1vnvEhieiccprPMdI,spotify:track:4rDbp1vnvEhieiccprPMdI,https://api.spotify.com/v1/tracks/4rDbp1vnvEhieiccprPMdI,https://api.spotify.com/v1/audio-analysis/4rDbp1vnvEhieiccprPMdI,296480,3
1,Everybody Talks,Picture Show,2012-01-01,['Neon Trees'],2iUmqdfGZcHIhS3b9E9EWq,https://i.scdn.co/image/ab67616d0000b2734a6c0376235e5aa44e59d2c2,0.471,0.924,8,-3.906,1,0.0586,0.00301,0.0,0.313,0.725,154.961,audio_features,2iUmqdfGZcHIhS3b9E9EWq,spotify:track:2iUmqdfGZcHIhS3b9E9EWq,https://api.spotify.com/v1/tracks/2iUmqdfGZcHIhS3b9E9EWq,https://api.spotify.com/v1/audio-analysis/2iUmqdfGZcHIhS3b9E9EWq,177280,4
2,Honeypie,For Abby,2020-10-27,['JAWNY'],6FfLg6FFqhCsrFOaHIGkg0,https://i.scdn.co/image/ab67616d0000b273bf076bd9b8ad8facbb19f473,0.74,0.688,5,-4.361,0,0.0916,0.061,0.0,0.138,0.935,115.035,audio_features,6FfLg6FFqhCsrFOaHIGkg0,spotify:track:6FfLg6FFqhCsrFOaHIGkg0,https://api.spotify.com/v1/tracks/6FfLg6FFqhCsrFOaHIGkg0,https://api.spotify.com/v1/audio-analysis/6FfLg6FFqhCsrFOaHIGkg0,135581,4
3,American Pie,American Pie,1971,['Don McLean'],1fDsrQ23eTAVFElUMaf38X,https://i.scdn.co/image/ab67616d0000b2730085dd4362653ef4c54ebbeb,0.531,0.481,4,-11.709,0,0.06,0.699,0.0,0.0842,0.491,138.45,audio_features,1fDsrQ23eTAVFElUMaf38X,spotify:track:1fDsrQ23eTAVFElUMaf38X,https://api.spotify.com/v1/tracks/1fDsrQ23eTAVFElUMaf38X,https://api.spotify.com/v1/audio-analysis/1fDsrQ23eTAVFElUMaf38X,516893,4
4,"It's Been a Long, Long Time (with Harry James & His Orchestra)",Best Of The Big Bands,1990-06-19,['Harry James'],52XDumqYDUXX16R7FM5fpV,https://i.scdn.co/image/ab67616d0000b27395bba6df81c05c5dc25b898c,0.272,0.219,0,-9.767,1,0.0305,0.938,0.00086,0.263,0.374,74.697,audio_features,52XDumqYDUXX16R7FM5fpV,spotify:track:52XDumqYDUXX16R7FM5fpV,https://api.spotify.com/v1/tracks/52XDumqYDUXX16R7FM5fpV,https://api.spotify.com/v1/audio-analysis/52XDumqYDUXX16R7FM5fpV,203773,4
5,Happy Together,Weezer (Teal Album),2019-01-24,['Weezer'],3KxOYNt66Hj42HzO7ao0CV,https://i.scdn.co/image/ab67616d0000b27323473d8f0c8669583307532e,0.444,0.943,6,-3.724,0,0.104,0.171,6.59e-06,0.297,0.411,125.896,audio_features,3KxOYNt66Hj42HzO7ao0CV,spotify:track:3KxOYNt66Hj42HzO7ao0CV,https://api.spotify.com/v1/tracks/3KxOYNt66Hj42HzO7ao0CV,https://api.spotify.com/v1/audio-analysis/3KxOYNt66Hj42HzO7ao0CV,145640,4
6,I Don't Want To Set The World On Fire,The Anthology,1998-06-16,['The Ink Spots'],777zXDJpBufzttU4AJ2dGO,https://i.scdn.co/image/ab67616d0000b273383811a9b3081023c612fb7b,0.445,0.146,5,-16.064,1,0.0333,0.962,1.05e-05,0.249,0.332,86.637,audio_features,777zXDJpBufzttU4AJ2dGO,spotify:track:777zXDJpBufzttU4AJ2dGO,https://api.spotify.com/v1/tracks/777zXDJpBufzttU4AJ2dGO,https://api.spotify.com/v1/audio-analysis/777zXDJpBufzttU4AJ2dGO,181067,4
7,We'll Meet Again,Sinatra Sings Great Songs From Great Britain,1962-11,['Frank Sinatra'],5IfDQ1fUOR2rpwNIDEXosr,https://i.scdn.co/image/ab67616d0000b273fffc5e7afeebc1558afd3477,0.151,0.17,7,-16.207,1,0.0324,0.739,1.24e-05,0.113,0.184,167.323,audio_features,5IfDQ1fUOR2rpwNIDEXosr,spotify:track:5IfDQ1fUOR2rpwNIDEXosr,https://api.spotify.com/v1/tracks/5IfDQ1fUOR2rpwNIDEXosr,https://api.spotify.com/v1/audio-analysis/5IfDQ1fUOR2rpwNIDEXosr,222893,4
8,Leaving on a Jet Plane,Rhymes & Reasons,1969-10-14,['John Denver'],0hS2EF1YErlHBS5c97iGxi,https://i.scdn.co/image/ab67616d0000b273dff69dc707a2885ad1049d75,0.486,0.279,7,-12.263,1,0.0307,0.676,0.0,0.141,0.469,132.939,audio_features,0hS2EF1YErlHBS5c97iGxi,spotify:track:0hS2EF1YErlHBS5c97iGxi,https://api.spotify.com/v1/tracks/0hS2EF1YErlHBS5c97iGxi,https://api.spotify.com/v1/audio-analysis/0hS2EF1YErlHBS5c97iGxi,217027,4
9,Hey Lover!,Cyclones and Hey Lover,2019-06-19,['Wabie'],7rC3P7tpWriaC4hYWKwGQd,https://i.scdn.co/image/ab67616d0000b27391ee4ab5782c9b197766ca02,0.586,0.744,4,-10.142,1,0.0508,0.00614,0.000172,0.372,0.523,117.006,audio_features,7rC3P7tpWriaC4hYWKwGQd,spotify:track:7rC3P7tpWriaC4hYWKwGQd,https://api.spotify.com/v1/tracks/7rC3P7tpWriaC4hYWKwGQd,https://api.spotify.com/v1/audio-analysis/7rC3P7tpWriaC4hYWKwGQd,162560,4
