,name,album,year,artists,track_id,image,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Engel,Sehnsucht,1997-08-25,['Rammstein'],0xrkyEMkG4dVa5OMLQZOX8,https://i.scdn.co/image/ab67616d0000b273a715d32590424cd667879ba3,0.637,0.658,2,-5.775,1,0.0291,0.00918,0.00229,0.295,0.328,96.072,audio_features,0xrkyEMkG4dVa5OMLQZOX8,spotify:track:0xrkyEMkG4dVa5OMLQZOX8,https://api.spotify.com/v1/tracks/0xrkyEMkG4dVa5OMLQZOX8,https://api.spotify.com/v1/audio-analysis/0xrkyEMkG4dVa5OMLQZOX8,264267,4
1,STONEFIST,DEATH MAGIC,2015-08-07,['HEALTH'],7uL9Q8h4hzzCuGTZ3Yttmv,https://i.scdn.co/image/ab67616d0000b273499959959c343367a0e1383b,0.554,0.78,5,-3.77,0,0.0334,3.51e-05,3.26e-05,0.626,0.332,100.005,audio_features,7uL9Q8h4hzzCuGTZ3Yttmv,spotify:track:7uL9Q8h4hzzCuGTZ3Yttmv,https://api.spotify.com/v1/tracks/7uL9Q8h4hzzCuGTZ3Yttmv,https://api.spotify.com/v1/audio-analysis/7uL9Q8h4hzzCuGTZ3Yttmv,204533,4
2,Wollt ihr das Bett in Flammen sehen,Herzeleid,1995-09-24,['Rammstein'],26dOCdbA4tZIJh9pGOLuHx,https://i.scdn.co/image/ab67616d0000b273c6e8760a62251a7f48eeead2,0.683,0.756,2,-7.496,1,0.0439,5.15e-05,0.42,0.722,0.646,129.926,audio_features,26dOCdbA4tZIJh9pGOLuHx,spotify:track:26dOCdbA4tZIJh9pGOLuHx,https://api.spotify.com/v1/tracks/26dOCdbA4tZIJh9pGOLuHx,https://api.spotify.com/v1/audio-analysis/26dOCdbA4tZIJh9pGOLuHx,317333,4
3,Deutschland,Rammstein,2019-05-17,['Rammstein'],2bPGTMB5sFfFYQ2YvSmup0,https://i.scdn.co/image/ab67616d0000b27302add2c77fb6999e311a3248,0.521,0.895,7,-5.242,1,0.0442,5.54e-05,0.349,0.0985,0.237,120.117,audio_features,2bPGTMB5sFfFYQ2YvSmup0,spotify:track:2bPGTMB5sFfFYQ2YvSmup0,https://api.spotify.com/v1/tracks/2bPGTMB5sFfFYQ2YvSmup0,https://api.spotify.com/v1/audio-analysis/2bPGTMB5sFfFYQ2YvSmup0,322340,4
4,Sonne,Mutter,2001-04-02,['Rammstein'],3gVhsZtseYtY1fMuyYq06F,https://i.scdn.co/image/ab67616d0000b2738b2c42026277efc3e058855b,0.51,0.917,4,-4.806,0,0.0854,0.0054,0.000133,0.396,0.313,75.098,audio_features,3gVhsZtseYtY1fMuyYq06F,spotify:track:3gVhsZtseYtY1fMuyYq06F,https://api.spotify.com/v1/tracks/3gVhsZtseYtY1fMuyYq06F,https://api.spotify.com/v1/audio-analysis/3gVhsZtseYtY1fMuyYq06F,272440,4
5,God Was Never on Your Side,Kiss of Death,2006-08-29,['Motörhead'],3zeQSYzaN9kLVypKWr6yUi,https://i.scdn.co/image/ab67616d0000b27304689e9ae32a5f42d012c64c,0.291,0.887,3,-4.629,0,0.0877,0.161,0.000634,0.103,0.183,175.921,audio_features,3zeQSYzaN9kLVypKWr6yUi,spotify:track:3zeQSYzaN9kLVypKWr6yUi,https://api.spotify.com/v1/tracks/3zeQSYzaN9kLVypKWr6yUi,https://api.spotify.com/v1/audio-analysis/3zeQSYzaN9kLVypKWr6yUi,261187,4
6,Overkill,Overkill (Expanded Bonus Track Edition),1979-03-24,['Motörhead'],3Staqm5EYDnYBqcwuxrWjZ,https://i.scdn.co/image/ab67616d0000b273aba003d455c566040b353025,0.266,0.866,11,-7.885,1,0.112,5.44e-06,0.0185,0.0961,0.211,119.41,audio_features,3Staqm5EYDnYBqcwuxrWjZ,spotify:track:3Staqm5EYDnYBqcwuxrWjZ,https://api.spotify.com/v1/tracks/3Staqm5EYDnYBqcwuxrWjZ,https://api.spotify.com/v1/audio-analysis/3Staqm5EYDnYBqcwuxrWjZ,311133,4
7,Don't Tread On Me,Metallica,1991-08-12,['Metallica'],2b7r6fN91KiHnp00aqHZ7x,https://i.scdn.co/image/ab67616d0000b273cf84c5b276431b473e924802,0.677,0.835,4,-7.627,0,0.0411,0.00546,0.00538,0.297,0.689,108.003,audio_features,2b7r6fN91KiHnp00aqHZ7x,spotify:track:2b7r6fN91KiHnp00aqHZ7x,https://api.spotify.com/v1/tracks/2b7r6fN91KiHnp00aqHZ7x,https://api.spotify.com/v1/audio-analysis/2b7r6fN91KiHnp00aqHZ7x,240333,4
8,Hellraiser - 30th Anniversary Edition,Hellraiser (30th Anniversary Edition),2021-09-13,"['Ozzy Osbourne', 'Lemmy', 'Motörhead']",7iD5t0YgWvIIrvZtw6IIxQ,https://i.scdn.co/image/ab67616d0000b273df002131f9a07d11ee4a7346,0.624,0.934,4,-3.229,1,0.0436,0.00232,2.67e-05,0.106,0.411,96.038,audio_features,7iD5t0YgWvIIrvZtw6IIxQ,spotify:track:7iD5t0YgWvIIrvZtw6IIxQ,https://api.spotify.com/v1/tracks/7iD5t0YgWvIIrvZtw6IIxQ,https://api.spotify.com/v1/audio-analysis/7iD5t0YgWvIIrvZtw6IIxQ,295881,4
9,Killed by Death,No Remorse,1984-09-15,['Motörhead'],4cuPWrSsjNLAkYRJwQLCzt,https://i.scdn.co/image/ab67616d0000b273f5ae9e1d9ea1198fab31aba9,0.387,0.942,2,-8.052,1,0.0442,0.00854,0.000437,0.491,0.251,134.558,audio_features,4cuPWrSsjNLAkYRJwQLCzt,spotify:track:4cuPWrSsjNLAkYRJwQLCzt,https://api.spotify.com/v1/tracks/4cuPWrSsjNLAkYRJwQLCzt,https://api.spotify.com/v1/audio-analysis/4cuPWrSsjNLAkYRJwQLCzt,279307,4
10,Enter Sandman,Metallica,1991-08-12,['Metallica'],5sICkBXVmaCQk5aISGR3x1,https://i.scdn.co/image/ab67616d0000b273cf84c5b276431b473e924802,0.577,0.828,6,-8.691,0,0.0298,0.00213,0.0114,0.0581,0.604,123.257,audio_features,5sICkBXVmaCQk5aISGR3x1,spotify:track:5sICkBXVmaCQk5aISGR3x1,https://api.spotify.com/v1/tracks/5sICkBXVmaCQk5aISGR3x1,https://api.spotify.com/v1/audio-analysis/5sICkBXVmaCQk5aISGR3x1,331267,4
11,Fear of the Dark - 2015 Remaster,Fear of the Dark (2015 Remaster),1992,['Iron Maiden'],6p8eFfPw3nQkf37aT3AkmK,https://i.scdn.co/image/ab67616d0000b2730dda9c11454b9053d07f585a,0.308,0.866,2,-5.671,0,0.059,0.000739,0.00141,0.232,0.227,109.825,audio_features,6p8eFfPw3nQkf37aT3AkmK,spotify:track:6p8eFfPw3nQkf37aT3AkmK,https://api.spotify.com/v1/tracks/6p8eFfPw3nQkf37aT3AkmK,https://api.spotify.com/v1/audio-analysis/6p8eFfPw3nQkf37aT3AkmK,438120,4
12,Ausländer,Rammstein,2019-05-17,['Rammstein'],7j43FohbLVulScL7S9sQZk,https://i.scdn.co/image/ab67616d0000b27302add2c77fb6999e311a3248,0.681,0.912,0,-4.159,1,0.0912,0.000757,0.00136,0.359,0.479,125.031,audio_features,7j43FohbLVulScL7S9sQZk,spotify:track:7j43FohbLVulScL7S9sQZk,https://api.spotify.com/v1/tracks/7j43FohbLVulScL7S9sQZk,https://api.spotify.com/v1/audio-analysis/7j43FohbLVulScL7S9sQZk,231603,4
13,Ace of Spades,Ace of Spades (Expanded Edition),1980-11-08,['Motörhead'],6EPRKhUOdiFSQwGBRBbvsZ,https://i.scdn.co/image/ab67616d0000b2732051e219a4af7648223953c1,0.342,0.91,4,-7.748,1,0.0758,4.02e-05,0.000121,0.0823,0.547,140.452,audio_features,6EPRKhUOdiFSQwGBRBbvsZ,spotify:track:6EPRKhUOdiFSQwGBRBbvsZ,https://api.spotify.com/v1/tracks/6EPRKhUOdiFSQwGBRBbvsZ,https://api.spotify.com/v1/audio-analysis/6EPRKhUOdiFSQwGBRBbvsZ,166360,4
14,Was ist hier los?,Sturmfahrt,2017-08-18,['Eisbrecher'],42COu0u76ahdsby0hKfMPH,https://i.scdn.co/image/ab67616d0000b273620d8113167e8b58afe77009,0.643,0.933,0,-4.259,1,0.0327,0.00112,0.00227,0.472,0.656,123.021,audio_features,42COu0u76ahdsby0hKfMPH,spotify:track:42COu0u76ahdsby0hKfMPH,https://api.spotify.com/v1/tracks/42COu0u76ahdsby0hKfMPH,https://api.spotify.com/v1/audio-analysis/42COu0u76ahdsby0hKfMPH,212507,4
15,NO GOD IN THUNDERDOME,Grand Theft Auto Online: Arena War (Official Soundtrack),2019-03-01,['HEALTH'],76Jjoxp3bZcv7EdmLo8YFZ,https://i.scdn.co/image/ab67616d0000b273ea08469ec5cdcd1659e23cdf,0.407,0.86,1,-7.838,1,0.0317,2.06e-06,0.000267,0.158,0.469,140.058,audio_features,76Jjoxp3bZcv7EdmLo8YFZ,spotify:track:76Jjoxp3bZcv7EdmLo8YFZ,https://api.spotify.com/v1/tracks/76Jjoxp3bZcv7EdmLo8YFZ,https://api.spotify.com/v1/audio-analysis/76Jjoxp3bZcv7EdmLo8YFZ,200716,4
16,DECIMATION,VOL. 4 :: SLAVES OF FEAR,2019-02-08,['HEALTH'],47jtk7X3XNvjXhdvrMp9nR,https://i.scdn.co/image/ab67616d0000b273b8da493a15e363b6c5e9dc30,0.384,0.442,2,-10.389,1,0.0301,0.0241,0.675,0.162,0.0389,130.003,audio_features,47jtk7X3XNvjXhdvrMp9nR,spotify:track:47jtk7X3XNvjXhdvrMp9nR,https://api.spotify.com/v1/tracks/47jtk7X3XNvjXhdvrMp9nR,https://api.spotify.com/v1/audio-analysis/47jtk7X3XNvjXhdvrMp9nR,293133,4
17,Amerika,"Reise, Reise",2004-09-27,['Rammstein'],1a8JpAL3vbAdXYrEABvOtb,https://i.scdn.co/image/ab67616d0000b273cbe7573e1175f842e24b34c2,0.608,0.885,2,-4.296,0,0.0963,0.00258,1.33e-05,0.392,0.518,125.023,audio_features,1a8JpAL3vbAdXYrEABvOtb,spotify:track:1a8JpAL3vbAdXYrEABvOtb,https://api.spotify.com/v1/tracks/1a8JpAL3vbAdXYrEABvOtb,https://api.spotify.com/v1/audio-analysis/1a8JpAL3vbAdXYrEABvOtb,226760,4
18,Du hast,Sehnsucht,1997-08-25,['Rammstein'],5awDvzxWfd53SSrsRZ8pXO,https://i.scdn.co/image/ab67616d0000b273a715d32590424cd667879ba3,0.64,0.922,9,-6.283,0,0.0385,0.00369,0.055,0.332,0.716,125.105,audio_features,5awDvzxWfd53SSrsRZ8pXO,spotify:track:5awDvzxWfd53SSrsRZ8pXO,https://api.spotify.com/v1/tracks/5awDvzxWfd53SSrsRZ8pXO,https://api.spotify.com/v1/audio-analysis/5awDvzxWfd53SSrsRZ8pXO,234227,4
19,Excess,Excess,2021-09-03,"['Perturbator', 'HEALTH']",2PqhBZZu2yRJ5uJ1dbRAGH,https://i.scdn.co/image/ab67616d0000b2736aaec428ef7bdbe3d292b752,0.556,0.68,1,-7.036,0,0.0301,7.26e-05,0.882,0.0958,0.151,100.008,audio_features,2PqhBZZu2yRJ5uJ1dbRAGH,spotify:track:2PqhBZZu2yRJ5uJ1dbRAGH,https://api.spotify.com/v1/tracks/2PqhBZZu2yRJ5uJ1dbRAGH,https://api.spotify.com/v1/audio-analysis/2PqhBZZu2yRJ5uJ1dbRAGH,277375,4
20,Perry Mason,Ozzmosis (Expanded Edition),1995-10-23,['Ozzy Osbourne'],5yckiSASyeQLPgpBZkXIbu,https://i.scdn.co/image/ab67616d0000b2731c06588e25004be37447a4e9,0.349,0.895,9,-5.98,1,0.0814,4.7e-05,0.00111,0.0387,0.478,135.157,audio_features,5yckiSASyeQLPgpBZkXIbu,spotify:track:5yckiSASyeQLPgpBZkXIbu,https://api.spotify.com/v1/tracks/5yckiSASyeQLPgpBZkXIbu,https://api.spotify.com/v1/audio-analysis/5yckiSASyeQLPgpBZkXIbu,353800,3
21,Hail to the King,Hail to the King,2013-08-23,['Avenged Sevenfold'],5anCkDvJ17aznvK5TED5uo,https://i.scdn.co/image/ab67616d0000b2730ea1ecb2d5271c2db402b0c2,0.58,0.916,3,-4.358,0,0.0387,0.000297,0.0259,0.126,0.683,118.004,audio_features,5anCkDvJ17aznvK5TED5uo,spotify:track:5anCkDvJ17aznvK5TED5uo,https://api.spotify.com/v1/tracks/5anCkDvJ17aznvK5TED5uo,https://api.spotify.com/v1/audio-analysis/5anCkDvJ17aznvK5TED5uo,305907,4
22,PUMPED UP KICKS,METAWAR,2019-07-05,['3TEETH'],2jtHoahMaDTkdplWVboumX,https://i.scdn.co/image/ab67616d0000b273c8a2c419311332d3772476c5,0.464,0.92,10,-5.673,0,0.0432,0.00143,0.114,0.343,0.266,91.04,audio_features,2jtHoahMaDTkdplWVboumX,spotify:track:2jtHoahMaDTkdplWVboumX,https://api.spotify.com/v1/tracks/2jtHoahMaDTkdplWVboumX,https://api.spotify.com/v1/audio-analysis/2jtHoahMaDTkdplWVboumX,271667,4
23,Peace Sells - Remastered,Peace Sells...But Who's Buying (Deluxe Edition - Remastered),1986,['Megadeth'],5a2hIQWInPjqkkFiUEgxoX,https://i.scdn.co/image/ab67616d0000b2730f783e735d0f43f071109a90,0.322,0.932,4,-4.252,0,0.163,8.57e-05,0.817,0.0969,0.376,138.042,audio_features,5a2hIQWInPjqkkFiUEgxoX,spotify:track:5a2hIQWInPjqkkFiUEgxoX,https://api.spotify.com/v1/tracks/5a2hIQWInPjqkkFiUEgxoX,https://api.spotify.com/v1/audio-analysis/5a2hIQWInPjqkkFiUEgxoX,244160,4
24,Nothing Else Matters,Metallica,1991-08-12,['Metallica'],0nLiqZ6A27jJri2VCalIUs,https://i.scdn.co/image/ab67616d0000b273cf84c5b276431b473e924802,0.553,0.362,4,-11.218,0,0.0263,0.0458,6.01e-06,0.075,0.158,142.352,audio_features,0nLiqZ6A27jJri2VCalIUs,spotify:track:0nLiqZ6A27jJri2VCalIUs,https://api.spotify.com/v1/tracks/0nLiqZ6A27jJri2VCalIUs,https://api.spotify.com/v1/audio-analysis/0nLiqZ6A27jJri2VCalIUs,388267,3
25,SLAVES OF FEAR,VOL. 4 :: SLAVES OF FEAR,2019-02-08,['HEALTH'],4RtL381bftPtvQhOpO5S3z,https://i.scdn.co/image/ab67616d0000b273b8da493a15e363b6c5e9dc30,0.403,0.53,2,-9.992,1,0.037,0.00257,0.46,0.111,0.0503,128.004,audio_features,4RtL381bftPtvQhOpO5S3z,spotify:track:4RtL381bftPtvQhOpO5S3z,https://api.spotify.com/v1/tracks/4RtL381bftPtvQhOpO5S3z,https://api.spotify.com/v1/audio-analysis/4RtL381bftPtvQhOpO5S3z,293333,4
26,The Unforgiven,Metallica,1991-08-12,['Metallica'],4aYLAF6ckQ5ooGGGM7sWAa,https://i.scdn.co/image/ab67616d0000b273cf84c5b276431b473e924802,0.54,0.584,7,-9.579,1,0.0254,0.0108,0.00296,0.253,0.244,139.261,audio_features,4aYLAF6ckQ5ooGGGM7sWAa,spotify:track:4aYLAF6ckQ5ooGGGM7sWAa,https://api.spotify.com/v1/tracks/4aYLAF6ckQ5ooGGGM7sWAa,https://api.spotify.com/v1/audio-analysis/4aYLAF6ckQ5ooGGGM7sWAa,386493,4
27,Mother,Danzig,1988-01-01,['Danzig'],7txxAtOMwLLnQTpKeBL6bp,https://i.scdn.co/image/ab67616d0000b273bc8d8db760af7b9d0c91747f,0.365,0.763,11,-9.45,0,0.0591,0.00726,0.000457,0.0865,0.342,148.366,audio_features,7txxAtOMwLLnQTpKeBL6bp,spotify:track:7txxAtOMwLLnQTpKeBL6bp,https://api.spotify.com/v1/tracks/7txxAtOMwLLnQTpKeBL6bp,https://api.spotify.com/v1/audio-analysis/7txxAtOMwLLnQTpKeBL6bp,204867,4
28,Dance,Ace of Spades (Expanded Edition),1980-11-08,['Motörhead'],6enLEAtq3Vnv01sqowC82l,https://i.scdn.co/image/ab67616d0000b2732051e219a4af7648223953c1,0.373,0.978,4,-5.289,1,0.0615,0.00879,0.000594,0.284,0.309,110.703,audio_features,6enLEAtq3Vnv01sqowC82l,spotify:track:6enLEAtq3Vnv01sqowC82l,https://api.spotify.com/v1/tracks/6enLEAtq3Vnv01sqowC82l,https://api.spotify.com/v1/audio-analysis/6enLEAtq3Vnv01sqowC82l,155627,4
29,FEEL NOTHING,VOL. 4 :: SLAVES OF FEAR,2019-02-08,['HEALTH'],0V7joapUtnZmfLhLj1QVI4,https://i.scdn.co/image/ab67616d0000b273b8da493a15e363b6c5e9dc30,0.54,0.816,1,-7.334,1,0.031,4.92e-05,0.0104,0.0806,0.242,98.028,audio_features,0V7joapUtnZmfLhLj1QVI4,spotify:track:0V7joapUtnZmfLhLj1QVI4,https://api.spotify.com/v1/tracks/0V7joapUtnZmfLhLj1QVI4,https://api.spotify.com/v1/audio-analysis/0V7joapUtnZmfLhLj1QVI4,179373,4
30,"Another Brick in the Wall, Pt. 1, 2, 3 - Pink Floyd Cover","Greatest Hits, Vol. 1",1994,['Korn'],5fBI2YzuyOVF0nkYjIGjJv,https://i.scdn.co/image/ab67616d0000b273b8cb1df9511b303af4d58081,0.614,0.51,0,-8.76,1,0.0289,0.0012,0.121,0.0824,0.0767,103.025,audio_features,5fBI2YzuyOVF0nkYjIGjJv,spotify:track:5fBI2YzuyOVF0nkYjIGjJv,https://api.spotify.com/v1/tracks/5fBI2YzuyOVF0nkYjIGjJv,https://api.spotify.com/v1/audio-analysis/5fBI2YzuyOVF0nkYjIGjJv,427987,4
31,CRUSHER,DISCO3,2017-02-17,['HEALTH'],48QaGCVrnslVq3BU44cPIw,https://i.scdn.co/image/ab67616d0000b273ad6d708bfdd16af8f5e73e87,0.59,0.804,1,-5.463,1,0.0388,0.000283,0.00814,0.0611,0.0627,112.037,audio_features,48QaGCVrnslVq3BU44cPIw,spotify:track:48QaGCVrnslVq3BU44cPIw,https://api.spotify.com/v1/tracks/48QaGCVrnslVq3BU44cPIw,https://api.spotify.com/v1/audio-analysis/48QaGCVrnslVq3BU44cPIw,201560,4
32,L.A. LOOKS,DEATH MAGIC,2015-08-07,['HEALTH'],5dcijXXXTmJtpCmuf2nBAM,https://i.scdn.co/image/ab67616d0000b273499959959c343367a0e1383b,0.603,0.805,11,-4.266,1,0.0287,0.000178,0.00013,0.414,0.273,100.011,audio_features,5dcijXXXTmJtpCmuf2nBAM,spotify:track:5dcijXXXTmJtpCmuf2nBAM,https://api.spotify.com/v1/tracks/5dcijXXXTmJtpCmuf2nBAM,https://api.spotify.com/v1/audio-analysis/5dcijXXXTmJtpCmuf2nBAM,204200,4
33,PSYCHONAUT,VOL. 4 :: SLAVES OF FEAR,2019-02-08,['HEALTH'],6xljaWZGlNsDgWMTjpqBxk,https://i.scdn.co/image/ab67616d0000b273b8da493a15e363b6c5e9dc30,0.246,0.737,9,-9.449,1,0.071,0.000253,0.852,0.178,0.159,89.755,audio_features,6xljaWZGlNsDgWMTjpqBxk,spotify:track:6xljaWZGlNsDgWMTjpqBxk,https://api.spotify.com/v1/tracks/6xljaWZGlNsDgWMTjpqBxk,https://api.spotify.com/v1/audio-analysis/6xljaWZGlNsDgWMTjpqBxk,144147,4
34,Helden,Worlds Collide,2007-09-14,['Apocalyptica'],5pUAyAxO3yfmqPo0Mytxna,https://i.scdn.co/image/ab67616d0000b27303f36eb693eff336f52468c0,0.435,0.836,9,-4.549,0,0.0436,0.000205,0.497,0.23,0.0523,113.036,audio_features,5pUAyAxO3yfmqPo0Mytxna,spotify:track:5pUAyAxO3yfmqPo0Mytxna,https://api.spotify.com/v1/tracks/5pUAyAxO3yfmqPo0Mytxna,https://api.spotify.com/v1/audio-analysis/5pUAyAxO3yfmqPo0Mytxna,257907,4
