,name,album,year,artists,track_id,image,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Where'd All the Time Go?,"Shame, Shame (Deluxe Edition)",2010-11-02,['Dr. Dog'],0UV5zxRMz6AO4ZwUOZNIKI,https://i.scdn.co/image/ab67616d0000b2730478062bc04df0947d232fcb,0.454,0.82,2,-4.193,1,0.0567,0.132,0.000969,0.115,0.575,166.303,audio_features,0UV5zxRMz6AO4ZwUOZNIKI,spotify:track:0UV5zxRMz6AO4ZwUOZNIKI,https://api.spotify.com/v1/tracks/0UV5zxRMz6AO4ZwUOZNIKI,https://api.spotify.com/v1/audio-analysis/0UV5zxRMz6AO4ZwUOZNIKI,234800,4
1,My Kind Of Woman,2,2013-08-09,['Mac DeMarco'],4tXzPOr4UaBoA7k7pnpJI1,https://i.scdn.co/image/ab67616d0000b273681384864fcbda288ed7d365,0.5,0.774,9,-7.062,1,0.0279,0.00331,0.62,0.185,0.453,91.769,audio_features,4tXzPOr4UaBoA7k7pnpJI1,spotify:track:4tXzPOr4UaBoA7k7pnpJI1,https://api.spotify.com/v1/tracks/4tXzPOr4UaBoA7k7pnpJI1,https://api.spotify.com/v1/audio-analysis/4tXzPOr4UaBoA7k7pnpJI1,190849,4
2,Lovers Rock,French Exit,2014-06-05,['TV Girl'],1H7zdcRD0gLGQY0w5ejGgX,https://i.scdn.co/image/ab67616d0000b2733cfca71bb96dacbb1c0fb2bf,0.559,0.871,5,-5.338,0,0.0392,7.53e-06,0.00524,0.096,0.573,104.976,audio_features,1H7zdcRD0gLGQY0w5ejGgX,spotify:track:1H7zdcRD0gLGQY0w5ejGgX,https://api.spotify.com/v1/tracks/1H7zdcRD0gLGQY0w5ejGgX,https://api.spotify.com/v1/audio-analysis/1H7zdcRD0gLGQY0w5ejGgX,213920,4
3,"Sea, Swallow Me",The Moon and the Melodies,1986-11-10,"['Cocteau Twins', 'Harold Budd']",7vPHiwgCOAjSBRjAirbMvS,https://i.scdn.co/image/ab67616d0000b2732bace4cf1388fa974fcdc14c,0.454,0.673,0,-13.425,1,0.0265,0.589,0.238,0.252,0.827,163.954,audio_features,7vPHiwgCOAjSBRjAirbMvS,spotify:track:7vPHiwgCOAjSBRjAirbMvS,https://api.spotify.com/v1/tracks/7vPHiwgCOAjSBRjAirbMvS,https://api.spotify.com/v1/audio-analysis/7vPHiwgCOAjSBRjAirbMvS,189040,3
4,New Flesh,Wild Heart,2013-01-02,['Current Joys'],6TEiFwaiHERpdfG6WnGed1,https://i.scdn.co/image/ab67616d0000b27347fb9584a92fac92a3c5875b,0.62,0.594,9,-16.066,1,0.0383,0.887,0.5,0.0917,0.698,165.861,audio_features,6TEiFwaiHERpdfG6WnGed1,spotify:track:6TEiFwaiHERpdfG6WnGed1,https://api.spotify.com/v1/tracks/6TEiFwaiHERpdfG6WnGed1,https://api.spotify.com/v1/audio-analysis/6TEiFwaiHERpdfG6WnGed1,167987,4
5,Swing Lynn,I'm Sure,2012-08-14,['Harmless'],6hIOunhsLUT66KQgZV5dMD,https://i.scdn.co/image/ab67616d0000b273279c10fd08546bba5039f095,0.462,0.945,2,-1.887,1,0.0399,0.0536,0.746,0.11,0.477,165.153,audio_features,6hIOunhsLUT66KQgZV5dMD,spotify:track:6hIOunhsLUT66KQgZV5dMD,https://api.spotify.com/v1/tracks/6hIOunhsLUT66KQgZV5dMD,https://api.spotify.com/v1/audio-analysis/6hIOunhsLUT66KQgZV5dMD,321438,4
6,Kids,Kids,2015-03-08,['Current Joys'],6ixkZ2Q9gQeh52C6GxbETg,https://i.scdn.co/image/ab67616d0000b27349e640de689d8f9c10104f2a,0.827,0.66,6,-9.669,1,0.0337,0.508,0.403,0.0756,0.904,113.449,audio_features,6ixkZ2Q9gQeh52C6GxbETg,spotify:track:6ixkZ2Q9gQeh52C6GxbETg,https://api.spotify.com/v1/tracks/6ixkZ2Q9gQeh52C6GxbETg,https://api.spotify.com/v1/audio-analysis/6ixkZ2Q9gQeh52C6GxbETg,269143,4
7,when you sleep,loveless,1991-11-04,['my bloody valentine'],2KylN9C0wNbzLgZNTG9oiU,https://i.scdn.co/image/ab67616d0000b273db8e38addb58131f77b48377,0.399,0.866,6,-9.72,1,0.0558,3.43e-05,0.738,0.0785,0.125,128.864,audio_features,2KylN9C0wNbzLgZNTG9oiU,spotify:track:2KylN9C0wNbzLgZNTG9oiU,https://api.spotify.com/v1/tracks/2KylN9C0wNbzLgZNTG9oiU,https://api.spotify.com/v1/audio-analysis/2KylN9C0wNbzLgZNTG9oiU,251947,4
8,Right Side of My Neck,Atlanta Millionaires Club,2019-05-24,['Faye Webster'],5QKE7ODTNKUqo9ZAyhtZ5J,https://i.scdn.co/image/ab67616d0000b2732e132a81fd103d3ee20033cf,0.72,0.515,1,-9.072,1,0.0262,0.00126,0.000255,0.331,0.322,117.051,audio_features,5QKE7ODTNKUqo9ZAyhtZ5J,spotify:track:5QKE7ODTNKUqo9ZAyhtZ5J,https://api.spotify.com/v1/tracks/5QKE7ODTNKUqo9ZAyhtZ5J,https://api.spotify.com/v1/audio-analysis/5QKE7ODTNKUqo9ZAyhtZ5J,153320,4
9,Blondie,Wild Heart,2013-01-02,['Current Joys'],4UkCtBCYh6VMsucGMQZyh9,https://i.scdn.co/image/ab67616d0000b27347fb9584a92fac92a3c5875b,0.776,0.626,6,-12.561,1,0.0396,0.622,0.899,0.086,0.866,122.072,audio_features,4UkCtBCYh6VMsucGMQZyh9,spotify:track:4UkCtBCYh6VMsucGMQZyh9,https://api.spotify.com/v1/tracks/4UkCtBCYh6VMsucGMQZyh9,https://api.spotify.com/v1/audio-analysis/4UkCtBCYh6VMsucGMQZyh9,194733,4
10,Looking Out for You,Looking Out for You,2016-01-15,['Joy Again'],3jfZ9M23l0L7RxzYMTgBTv,https://i.scdn.co/image/ab67616d0000b2735448a3dfe8528453a3686fd6,0.682,0.9,9,-5.028,1,0.0874,0.0884,0.063,0.0685,0.937,100.721,audio_features,3jfZ9M23l0L7RxzYMTgBTv,spotify:track:3jfZ9M23l0L7RxzYMTgBTv,https://api.spotify.com/v1/tracks/3jfZ9M23l0L7RxzYMTgBTv,https://api.spotify.com/v1/audio-analysis/3jfZ9M23l0L7RxzYMTgBTv,179499,4
11,She Needs Him,Invitation to Her's,2018-08-24,"[""Her's""]",1NjzNt18LlNTuJYErYGvbQ,https://i.scdn.co/image/ab67616d0000b273280a001e43c93792dd1e27c7,0.504,0.58,1,-5.917,1,0.0279,0.0101,0.491,0.071,0.585,157.026,audio_features,1NjzNt18LlNTuJYErYGvbQ,spotify:track:1NjzNt18LlNTuJYErYGvbQ,https://api.spotify.com/v1/tracks/1NjzNt18LlNTuJYErYGvbQ,https://api.spotify.com/v1/audio-analysis/1NjzNt18LlNTuJYErYGvbQ,314391,4
