,name,album,year,artists,track_id,image,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Let's Groove,Raise!,1981-11-14,"['Earth, Wind & Fire']",3koCCeSaVUyrRo3N2gHrd8,https://i.scdn.co/image/ab67616d0000b273b30c8b93cef6fa26f8a7f17a,0.869,0.648,11,-8.698,0,0.0633,0.121,2.17e-05,0.126,0.9,125.035,audio_features,3koCCeSaVUyrRo3N2gHrd8,spotify:track:3koCCeSaVUyrRo3N2gHrd8,https://api.spotify.com/v1/tracks/3koCCeSaVUyrRo3N2gHrd8,https://api.spotify.com/v1/audio-analysis/3koCCeSaVUyrRo3N2gHrd8,339320,4
1,I'm Still Standing,Too Low For Zero,1983-05-30,['Elton John'],1jDJFeK9x3OZboIAHsY9k2,https://i.scdn.co/image/ab67616d0000b273eb11e2abccdca41f39ad3b89,0.504,0.904,6,-6.863,1,0.179,0.356,0.121,0.14,0.772,176.808,audio_features,1jDJFeK9x3OZboIAHsY9k2,spotify:track:1jDJFeK9x3OZboIAHsY9k2,https://api.spotify.com/v1/tracks/1jDJFeK9x3OZboIAHsY9k2,https://api.spotify.com/v1/audio-analysis/1jDJFeK9x3OZboIAHsY9k2,183440,4
2,"Happy - From ""Despicable Me 2""",G I R L,2014-03-03,['Pharrell Williams'],60nZcImufyMA1MKQY3dcCH,https://i.scdn.co/image/ab67616d0000b273e8107e6d9214baa81bb79bba,0.647,0.822,5,-4.662,0,0.183,0.219,0.0,0.0908,0.962,160.019,audio_features,60nZcImufyMA1MKQY3dcCH,spotify:track:60nZcImufyMA1MKQY3dcCH,https://api.spotify.com/v1/tracks/60nZcImufyMA1MKQY3dcCH,https://api.spotify.com/v1/audio-analysis/60nZcImufyMA1MKQY3dcCH,232720,4
3,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")","CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",2016-05-06,['Justin Timberlake'],6JV2JOEocMgcZxYSZelKcc,https://i.scdn.co/image/ab67616d0000b273ef37416970812293c08e8a78,0.666,0.83,0,-5.715,1,0.0751,0.0123,0.0,0.191,0.702,113.03,audio_features,6JV2JOEocMgcZxYSZelKcc,spotify:track:6JV2JOEocMgcZxYSZelKcc,https://api.spotify.com/v1/tracks/6JV2JOEocMgcZxYSZelKcc,https://api.spotify.com/v1/audio-analysis/6JV2JOEocMgcZxYSZelKcc,236002,4
4,Another One Bites The Dust - Remastered 2011,The Game (2011 Remaster),1980-06-27,['Queen'],5vdp5UmvTsnMEMESIF2Ym7,https://i.scdn.co/image/ab67616d0000b273056e90910cbaf5c5b892aeba,0.933,0.528,5,-6.472,0,0.161,0.112,0.312,0.163,0.754,109.967,audio_features,5vdp5UmvTsnMEMESIF2Ym7,spotify:track:5vdp5UmvTsnMEMESIF2Ym7,https://api.spotify.com/v1/tracks/5vdp5UmvTsnMEMESIF2Ym7,https://api.spotify.com/v1/audio-analysis/5vdp5UmvTsnMEMESIF2Ym7,214653,4
5,Uptown Funk (feat. Bruno Mars),Uptown Special,2015-01-12,['Mark Ronson'],32OlwWuMpZ6b0aN2RZOeMS,https://i.scdn.co/image/ab67616d0000b273e419ccba0baa8bd3f3d7abf2,0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,audio_features,32OlwWuMpZ6b0aN2RZOeMS,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,https://api.spotify.com/v1/tracks/32OlwWuMpZ6b0aN2RZOeMS,https://api.spotify.com/v1/audio-analysis/32OlwWuMpZ6b0aN2RZOeMS,269667,4
6,Don't Stop Me Now - Remastered 2011,Jazz (2011 Remaster),1978-11-10,['Queen'],5T8EDUDqKcs6OSOwEsfqG7,https://i.scdn.co/image/ab67616d0000b2737c39dd133836c2c1c87e34d6,0.559,0.868,5,-5.276,1,0.17,0.0475,0.000176,0.776,0.609,156.295,audio_features,5T8EDUDqKcs6OSOwEsfqG7,spotify:track:5T8EDUDqKcs6OSOwEsfqG7,https://api.spotify.com/v1/tracks/5T8EDUDqKcs6OSOwEsfqG7,https://api.spotify.com/v1/audio-analysis/5T8EDUDqKcs6OSOwEsfqG7,209413,4
7,Wake Me Up Before You Go-Go,Make It Big,1984-10-23,['Wham!'],0ikz6tENMONtK6qGkOrU3c,https://i.scdn.co/image/ab67616d0000b273a2fc41b0dd6ce4f0d16a4c46,0.62,0.573,0,-11.893,1,0.0423,0.271,0.0,0.0607,0.897,81.548,audio_features,0ikz6tENMONtK6qGkOrU3c,spotify:track:0ikz6tENMONtK6qGkOrU3c,https://api.spotify.com/v1/tracks/0ikz6tENMONtK6qGkOrU3c,https://api.spotify.com/v1/audio-analysis/0ikz6tENMONtK6qGkOrU3c,231333,4
8,Stayin Alive,How Can You Mend A Broken Heart,2020-12-11,['Bee Gees'],5ubvP9oKmxLUVq506fgLhk,https://i.scdn.co/image/ab67616d0000b273bdcea025a483b9642f17a9f8,0.702,0.773,10,-9.256,0,0.0343,0.0288,0.00871,0.147,0.953,103.564,audio_features,5ubvP9oKmxLUVq506fgLhk,spotify:track:5ubvP9oKmxLUVq506fgLhk,https://api.spotify.com/v1/tracks/5ubvP9oKmxLUVq506fgLhk,https://api.spotify.com/v1/audio-analysis/5ubvP9oKmxLUVq506fgLhk,285373,4
9,Take on Me,Hunting High and Low,1985-06-01,['a-ha'],2WfaOiMkCvy7F5fcp2zZ8L,https://i.scdn.co/image/ab67616d0000b273e8dd4db47e7177c63b0b7d53,0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,audio_features,2WfaOiMkCvy7F5fcp2zZ8L,spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,https://api.spotify.com/v1/tracks/2WfaOiMkCvy7F5fcp2zZ8L,https://api.spotify.com/v1/audio-analysis/2WfaOiMkCvy7F5fcp2zZ8L,225280,4
