,name,album,year,artists,track_id,image,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Friends of P.,Return Of The Rentals,1995-10-20,['The Rentals'],5NjIog0vXS0VBWa5a94vzJ,https://i.scdn.co/image/ab67616d0000b2736ea752cbdc0b66727d1a5e8a,0.613,0.721,1,-6.868,1,0.0252,0.000641,1.6e-05,0.13,0.763,107.956,audio_features,5NjIog0vXS0VBWa5a94vzJ,spotify:track:5NjIog0vXS0VBWa5a94vzJ,https://api.spotify.com/v1/tracks/5NjIog0vXS0VBWa5a94vzJ,https://api.spotify.com/v1/audio-analysis/5NjIog0vXS0VBWa5a94vzJ,212267,4
1,Waiting,Return Of The Rentals,1995-10-20,['The Rentals'],1fQJPRtrD1abNeOcZVRNO2,https://i.scdn.co/image/ab67616d0000b2736ea752cbdc0b66727d1a5e8a,0.442,0.962,8,-7.398,1,0.0333,0.000751,6.25e-05,0.131,0.772,135.823,audio_features,1fQJPRtrD1abNeOcZVRNO2,spotify:track:1fQJPRtrD1abNeOcZVRNO2,https://api.spotify.com/v1/tracks/1fQJPRtrD1abNeOcZVRNO2,https://api.spotify.com/v1/audio-analysis/1fQJPRtrD1abNeOcZVRNO2,193093,4
2,Hope is a Dangerous Little Thing,Hope is a Dangerous Little Thing,2023-08-15,['The Menzingers'],5AXCGDpDg4rOdf3xg2Y939,https://i.scdn.co/image/ab67616d0000b2738e3a4194fca85e6e90e6f359,0.299,0.928,9,-4.311,1,0.162,0.0951,0.0,0.136,0.433,177.888,audio_features,5AXCGDpDg4rOdf3xg2Y939,spotify:track:5AXCGDpDg4rOdf3xg2Y939,https://api.spotify.com/v1/tracks/5AXCGDpDg4rOdf3xg2Y939,https://api.spotify.com/v1/audio-analysis/5AXCGDpDg4rOdf3xg2Y939,192007,4
3,There's No Place in This World for Me,Hope is a Dangerous Little Thing,2023-08-15,['The Menzingers'],0IBxpxCHkaElnVmEjzttnH,https://i.scdn.co/image/ab67616d0000b2738e3a4194fca85e6e90e6f359,0.373,0.881,2,-3.055,1,0.0408,0.00445,0.0,0.0749,0.506,163.888,audio_features,0IBxpxCHkaElnVmEjzttnH,spotify:track:0IBxpxCHkaElnVmEjzttnH,https://api.spotify.com/v1/tracks/0IBxpxCHkaElnVmEjzttnH,https://api.spotify.com/v1/audio-analysis/0IBxpxCHkaElnVmEjzttnH,202548,4
4,estella//,SURVIVORS GUILT: THE MIXTAPE//,2021-06-11,"['KennyHoopla', 'Travis Barker']",3emo5sUq2OwBctNgX0NMEV,https://i.scdn.co/image/ab67616d0000b27328f984a071dd9f074d3e22ed,0.454,0.837,8,-4.395,1,0.0734,0.000532,5.04e-05,0.375,0.557,164.966,audio_features,3emo5sUq2OwBctNgX0NMEV,spotify:track:3emo5sUq2OwBctNgX0NMEV,https://api.spotify.com/v1/tracks/3emo5sUq2OwBctNgX0NMEV,https://api.spotify.com/v1/audio-analysis/3emo5sUq2OwBctNgX0NMEV,118733,4
5,Spacer's Choice,Spacer’s Choice,2023-08-23,['Free Throw'],39sR5hueDyUH3kd88jVWcF,https://i.scdn.co/image/ab67616d0000b273cfba4256105aea6135f064e9,0.461,0.967,1,-3.774,1,0.0849,0.0018,1.62e-05,0.0711,0.575,156.033,audio_features,39sR5hueDyUH3kd88jVWcF,spotify:track:39sR5hueDyUH3kd88jVWcF,https://api.spotify.com/v1/tracks/39sR5hueDyUH3kd88jVWcF,https://api.spotify.com/v1/audio-analysis/39sR5hueDyUH3kd88jVWcF,153827,4
6,TRUCK BED,the mockingbird & THE CROW,2023-01-20,['HARDY'],103u49mLoJUge83B1CnLxI,https://i.scdn.co/image/ab67616d0000b27327f2230da1986261f618172e,0.662,0.77,0,-4.887,1,0.0367,0.0875,0.0,0.35,0.769,132.057,audio_features,103u49mLoJUge83B1CnLxI,spotify:track:103u49mLoJUge83B1CnLxI,https://api.spotify.com/v1/tracks/103u49mLoJUge83B1CnLxI,https://api.spotify.com/v1/audio-analysis/103u49mLoJUge83B1CnLxI,167535,4
7,Time to Pretend,Oracular Spectacular,2007-12-14,['MGMT'],4iG2gAwKXsOcijVaVXzRPW,https://i.scdn.co/image/ab67616d0000b2738b32b139981e79f2ebe005eb,0.438,0.94,2,-3.249,1,0.0452,8.74e-05,0.0777,0.3,0.421,100.99,audio_features,4iG2gAwKXsOcijVaVXzRPW,spotify:track:4iG2gAwKXsOcijVaVXzRPW,https://api.spotify.com/v1/tracks/4iG2gAwKXsOcijVaVXzRPW,https://api.spotify.com/v1/audio-analysis/4iG2gAwKXsOcijVaVXzRPW,261000,3
8,Mind Your Manners (feat. Icona Pop),Breakfast,2010-09-13,['Chiddy Bang'],1hPajXXDa8dfTFABNZe2Ri,https://i.scdn.co/image/ab67616d0000b273f34dd29bf11177daea217638,0.696,0.853,2,-4.122,1,0.237,0.00399,0.0,0.0843,0.685,92.976,audio_features,1hPajXXDa8dfTFABNZe2Ri,spotify:track:1hPajXXDa8dfTFABNZe2Ri,https://api.spotify.com/v1/tracks/1hPajXXDa8dfTFABNZe2Ri,https://api.spotify.com/v1/audio-analysis/1hPajXXDa8dfTFABNZe2Ri,196653,4
9,Deleter,Healer,2020-03-13,['GROUPLOVE'],2yH16s2lLbYtLziVwqw7Pf,https://i.scdn.co/image/ab67616d0000b273ed23f5a4ada474d398a36253,0.421,0.991,8,-3.678,1,0.124,3.81e-06,0.0466,0.13,0.446,159.998,audio_features,2yH16s2lLbYtLziVwqw7Pf,spotify:track:2yH16s2lLbYtLziVwqw7Pf,https://api.spotify.com/v1/tracks/2yH16s2lLbYtLziVwqw7Pf,https://api.spotify.com/v1/audio-analysis/2yH16s2lLbYtLziVwqw7Pf,234387,4
