,name,album,year,artists,track_id,image,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,The Office Theme,The Office Theme,2009-05-12,['Michael Scott Fan Club'],5NUCLgfK7d3zJeOJN0hZIv,https://i.scdn.co/image/ab67616d0000b2737c489cb322ff0e2de961ea05,0.507,0.522,0,-6.96,1,0.0293,0.0134,0.758,0.62,0.557,168.01,audio_features,5NUCLgfK7d3zJeOJN0hZIv,spotify:track:5NUCLgfK7d3zJeOJN0hZIv,https://api.spotify.com/v1/tracks/5NUCLgfK7d3zJeOJN0hZIv,https://api.spotify.com/v1/audio-analysis/5NUCLgfK7d3zJeOJN0hZIv,64558,1
1,Celebration - Single Version,Celebration / Morning Star,2009-01-01,['Kool & The Gang'],6CSLNGruNhqpb5zhfs5n3i,https://i.scdn.co/image/ab67616d0000b2738a69fee00426f311d0056151,0.843,0.656,1,-11.184,1,0.0595,0.0466,0.0187,0.169,0.931,121.112,audio_features,6CSLNGruNhqpb5zhfs5n3i,spotify:track:6CSLNGruNhqpb5zhfs5n3i,https://api.spotify.com/v1/tracks/6CSLNGruNhqpb5zhfs5n3i,https://api.spotify.com/v1/audio-analysis/6CSLNGruNhqpb5zhfs5n3i,215653,4
2,Mambo No. 5 (a Little Bit of...),A Little Bit of Mambo,1999-07-19,['Lou Bega'],6x4tKaOzfNJpEJHySoiJcs,https://i.scdn.co/image/ab67616d0000b273cf505191afa6a1978418fdf8,0.622,0.807,5,-6.752,0,0.408,0.103,0.0,0.306,0.892,174.06,audio_features,6x4tKaOzfNJpEJHySoiJcs,spotify:track:6x4tKaOzfNJpEJHySoiJcs,https://api.spotify.com/v1/tracks/6x4tKaOzfNJpEJHySoiJcs,https://api.spotify.com/v1/audio-analysis/6x4tKaOzfNJpEJHySoiJcs,220293,4
3,Tiny Dancer,Madman Across The Water,1971-11-05,['Elton John'],2TVxnKdb3tqe1nhQWwwZCO,https://i.scdn.co/image/ab67616d0000b273d03ab2da904d8251a87bbc31,0.414,0.428,0,-11.097,1,0.0278,0.382,0.000243,0.148,0.282,145.075,audio_features,2TVxnKdb3tqe1nhQWwwZCO,spotify:track:2TVxnKdb3tqe1nhQWwwZCO,https://api.spotify.com/v1/tracks/2TVxnKdb3tqe1nhQWwwZCO,https://api.spotify.com/v1/audio-analysis/2TVxnKdb3tqe1nhQWwwZCO,377093,4
4,"(I've Had) The Time Of My Life - From ""Dirty Dancing"" Soundtrack",Dirty Dancing (Original Motion Picture Soundtrack),1987-09-24,['Various Artists'],6W7ztLBiRzBN46ZaPAcQ0F,https://i.scdn.co/image/ab67616d0000b273ac19c6552524d207aac1277b,0.697,0.669,6,-12.723,0,0.0406,0.0404,0.00897,0.0654,0.486,108.506,audio_features,6W7ztLBiRzBN46ZaPAcQ0F,spotify:track:6W7ztLBiRzBN46ZaPAcQ0F,https://api.spotify.com/v1/tracks/6W7ztLBiRzBN46ZaPAcQ0F,https://api.spotify.com/v1/audio-analysis/6W7ztLBiRzBN46ZaPAcQ0F,290333,4
5,Everybody Hurts,Automatic For The People,1992-10-05,['R.E.M.'],6PypGyiu0Y2lCDBN1XZEnP,https://i.scdn.co/image/ab67616d0000b273ace3e7aae0b7c78bbe1c4f35,0.467,0.324,2,-10.451,1,0.0255,0.615,0.0248,0.118,0.166,94.301,audio_features,6PypGyiu0Y2lCDBN1XZEnP,spotify:track:6PypGyiu0Y2lCDBN1XZEnP,https://api.spotify.com/v1/tracks/6PypGyiu0Y2lCDBN1XZEnP,https://api.spotify.com/v1/audio-analysis/6PypGyiu0Y2lCDBN1XZEnP,320267,3
6,We Didn't Start the Fire,Storm Front,1989-10-17,['Billy Joel'],3Cx4yrFaX8CeHwBMReOWXI,https://i.scdn.co/image/ab67616d0000b2731946747b8692919f98918ec4,0.712,0.967,7,-5.206,1,0.047,0.0771,0.0,0.356,0.895,145.024,audio_features,3Cx4yrFaX8CeHwBMReOWXI,spotify:track:3Cx4yrFaX8CeHwBMReOWXI,https://api.spotify.com/v1/tracks/3Cx4yrFaX8CeHwBMReOWXI,https://api.spotify.com/v1/audio-analysis/3Cx4yrFaX8CeHwBMReOWXI,287733,4
7,Bang on the Drum All Day,"Hello, It's Me And My Friends",2004-04-29,['Todd Rundgren'],4E1zu77wpEEmIyligHzfpg,https://i.scdn.co/image/ab67616d0000b273ff3f88eb43e16ea976f757e0,0.682,0.948,7,-5.288,1,0.0775,0.0165,8.1e-05,0.155,0.942,142.527,audio_features,4E1zu77wpEEmIyligHzfpg,spotify:track:4E1zu77wpEEmIyligHzfpg,https://api.spotify.com/v1/tracks/4E1zu77wpEEmIyligHzfpg,https://api.spotify.com/v1/audio-analysis/4E1zu77wpEEmIyligHzfpg,213773,4
8,Use It,Twin Cinema,2005-08-22,['The New Pornographers'],135asPx5Llv9bjHprPL6iX,https://i.scdn.co/image/ab67616d0000b2735c3ade87b509abf9926171a1,0.552,0.828,4,-5.245,1,0.0389,0.0098,8.53e-06,0.343,0.616,144.987,audio_features,135asPx5Llv9bjHprPL6iX,spotify:track:135asPx5Llv9bjHprPL6iX,https://api.spotify.com/v1/tracks/135asPx5Llv9bjHprPL6iX,https://api.spotify.com/v1/audio-analysis/135asPx5Llv9bjHprPL6iX,206773,4
9,Sing,The Invisible Band,2001-06-10,['Travis'],5JemkdKwXNsNnogI0Mg0ZZ,https://i.scdn.co/image/ab67616d0000b2736ce89e16666badefc102dfd6,0.33,0.905,4,-5.047,1,0.0497,0.000233,8.14e-06,0.0712,0.259,163.142,audio_features,5JemkdKwXNsNnogI0Mg0ZZ,spotify:track:5JemkdKwXNsNnogI0Mg0ZZ,https://api.spotify.com/v1/tracks/5JemkdKwXNsNnogI0Mg0ZZ,https://api.spotify.com/v1/audio-analysis/5JemkdKwXNsNnogI0Mg0ZZ,228800,4
