,name,album,year,artists,track_id,image,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Sofia,Immunity,2019-08-02,['Clairo'],7B3z0ySL9Rr0XvZEAjWZzM,https://i.scdn.co/image/ab67616d0000b27333ccb60f9b2785ef691b2fbc,0.744,0.619,0,-9.805,1,0.039,0.598,0.00372,0.231,0.641,112.997,audio_features,7B3z0ySL9Rr0XvZEAjWZzM,spotify:track:7B3z0ySL9Rr0XvZEAjWZzM,https://api.spotify.com/v1/tracks/7B3z0ySL9Rr0XvZEAjWZzM,https://api.spotify.com/v1/audio-analysis/7B3z0ySL9Rr0XvZEAjWZzM,188387,4
1,No Surprises,OK Computer,1997-05-28,['Radiohead'],10nyNJ6zNy2YVYLrcwLccB,https://i.scdn.co/image/ab67616d0000b273c8b444df094279e70d0ed856,0.255,0.393,5,-10.654,1,0.0278,0.0577,0.00361,0.113,0.118,76.426,audio_features,10nyNJ6zNy2YVYLrcwLccB,spotify:track:10nyNJ6zNy2YVYLrcwLccB,https://api.spotify.com/v1/tracks/10nyNJ6zNy2YVYLrcwLccB,https://api.spotify.com/v1/audio-analysis/10nyNJ6zNy2YVYLrcwLccB,229120,4
2,Gymnopédie No. 1,Erik Satie & Friends,1949,['Erik Satie'],5NGtFXVpXSvwunEIGeviY3,https://i.scdn.co/image/ab67616d0000b273fa24c97b4c8aaf5ccdcccf08,0.468,0.0127,7,-36.856,1,0.123,0.994,0.937,0.094,0.356,72.776,audio_features,5NGtFXVpXSvwunEIGeviY3,spotify:track:5NGtFXVpXSvwunEIGeviY3,https://api.spotify.com/v1/tracks/5NGtFXVpXSvwunEIGeviY3,https://api.spotify.com/v1/audio-analysis/5NGtFXVpXSvwunEIGeviY3,205867,3
3,august,folklore,2020-07-24,['Taylor Swift'],3hUxzQpSfdDqwM3ZTFQY0K,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc,0.532,0.623,5,-9.208,1,0.0331,0.538,7.28e-05,0.0925,0.403,89.937,audio_features,3hUxzQpSfdDqwM3ZTFQY0K,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,https://api.spotify.com/v1/tracks/3hUxzQpSfdDqwM3ZTFQY0K,https://api.spotify.com/v1/audio-analysis/3hUxzQpSfdDqwM3ZTFQY0K,261923,4
4,Scott Street,Stranger in the Alps (Deluxe Edition),2018-10-02,['Phoebe Bridgers'],21uFPefbgeR3QLVJWATlrr,https://i.scdn.co/image/ab67616d0000b27378d8e579122e4b9446954ee9,0.508,0.417,10,-9.632,1,0.0296,0.77,0.0928,0.0887,0.483,134.944,audio_features,21uFPefbgeR3QLVJWATlrr,spotify:track:21uFPefbgeR3QLVJWATlrr,https://api.spotify.com/v1/tracks/21uFPefbgeR3QLVJWATlrr,https://api.spotify.com/v1/audio-analysis/21uFPefbgeR3QLVJWATlrr,305001,4
5,Clocks,A Rush of Blood to the Head,2002-08-08,['Coldplay'],0BCPKOYdS2jbQ8iyB56Zns,https://i.scdn.co/image/ab67616d0000b273de09e02aa7febf30b7c02d82,0.577,0.749,5,-7.215,0,0.0279,0.599,0.0115,0.183,0.255,130.97,audio_features,0BCPKOYdS2jbQ8iyB56Zns,spotify:track:0BCPKOYdS2jbQ8iyB56Zns,https://api.spotify.com/v1/tracks/0BCPKOYdS2jbQ8iyB56Zns,https://api.spotify.com/v1/audio-analysis/0BCPKOYdS2jbQ8iyB56Zns,307880,4
6,Kiss Me,Sixpence None the Richer,1997-11-22,['Sixpence None The Richer'],754kgU5rWscRTfvlsuEwFp,https://i.scdn.co/image/ab67616d0000b273b182816802535e73e697a1a6,0.526,0.749,3,-6.964,1,0.0283,0.023,1.76e-06,0.0692,0.421,99.982,audio_features,754kgU5rWscRTfvlsuEwFp,spotify:track:754kgU5rWscRTfvlsuEwFp,https://api.spotify.com/v1/tracks/754kgU5rWscRTfvlsuEwFp,https://api.spotify.com/v1/audio-analysis/754kgU5rWscRTfvlsuEwFp,208680,4
7,Heaven Knows I'm Miserable Now - 2011 Remaster,Hatful of Hollow,1984,['The Smiths'],1xaTREM89RbIxkcjlpf4Uw,https://i.scdn.co/image/ab67616d0000b273786b44c75ebf915866523f5b,0.609,0.759,6,-4.862,1,0.0276,0.028,0.0,0.183,0.774,114.045,audio_features,1xaTREM89RbIxkcjlpf4Uw,spotify:track:1xaTREM89RbIxkcjlpf4Uw,https://api.spotify.com/v1/tracks/1xaTREM89RbIxkcjlpf4Uw,https://api.spotify.com/v1/audio-analysis/1xaTREM89RbIxkcjlpf4Uw,215760,4
8,F Song,F Song,2018-08-09,['Strawberry Guy'],4z9KVNX4hmk672SJfhtQNz,https://i.scdn.co/image/ab67616d0000b2736cfe31d4e5d58710add69045,0.236,0.511,0,-10.788,0,0.0442,0.407,0.281,0.346,0.227,80.973,audio_features,4z9KVNX4hmk672SJfhtQNz,spotify:track:4z9KVNX4hmk672SJfhtQNz,https://api.spotify.com/v1/tracks/4z9KVNX4hmk672SJfhtQNz,https://api.spotify.com/v1/audio-analysis/4z9KVNX4hmk672SJfhtQNz,224655,4
9,mirrorball,folklore,2020-07-24,['Taylor Swift'],0ZNU020wNYvgW84iljPkPP,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc,0.553,0.413,2,-10.037,1,0.0334,0.687,2.33e-06,0.0594,0.379,110.107,audio_features,0ZNU020wNYvgW84iljPkPP,spotify:track:0ZNU020wNYvgW84iljPkPP,https://api.spotify.com/v1/tracks/0ZNU020wNYvgW84iljPkPP,https://api.spotify.com/v1/audio-analysis/0ZNU020wNYvgW84iljPkPP,208978,4
10,Are You Bored Yet? (feat. Clairo),Nothing Happens,2019-03-22,['Wallows'],57RA3JGafJm5zRtKJiKPIm,https://i.scdn.co/image/ab67616d0000b27384feca0133d9a8e6539a8325,0.682,0.683,8,-6.444,0,0.0287,0.156,2.32e-05,0.273,0.64,120.023,audio_features,57RA3JGafJm5zRtKJiKPIm,spotify:track:57RA3JGafJm5zRtKJiKPIm,https://api.spotify.com/v1/tracks/57RA3JGafJm5zRtKJiKPIm,https://api.spotify.com/v1/audio-analysis/57RA3JGafJm5zRtKJiKPIm,178000,4
11,September - Instrumental,September,2009,['Sparky Deathcap'],6pj9JkwBA6VzYdLXvaJkPh,https://i.scdn.co/image/ab67616d0000b2734285bbf51dd2f011b5998dfd,0.683,0.349,8,-12.014,1,0.035,0.957,0.806,0.0755,0.555,139.84,audio_features,6pj9JkwBA6VzYdLXvaJkPh,spotify:track:6pj9JkwBA6VzYdLXvaJkPh,https://api.spotify.com/v1/tracks/6pj9JkwBA6VzYdLXvaJkPh,https://api.spotify.com/v1/audio-analysis/6pj9JkwBA6VzYdLXvaJkPh,189681,3
12,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",Isolation,2018-04-06,['Kali Uchis'],1otG6j1WHNvl9WgXLWkHTo,https://i.scdn.co/image/ab67616d0000b27390b4e1905b1fc48c537ec053,0.702,0.659,4,-6.766,0,0.13,0.301,0.00201,0.218,0.843,79.64,audio_features,1otG6j1WHNvl9WgXLWkHTo,spotify:track:1otG6j1WHNvl9WgXLWkHTo,https://api.spotify.com/v1/tracks/1otG6j1WHNvl9WgXLWkHTo,https://api.spotify.com/v1/audio-analysis/1otG6j1WHNvl9WgXLWkHTo,207455,4
