,name,album,year,artists,track_id,image,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Not Strong Enough,the record,2023-03-31,['boygenius'],09DR0sHnQUhHOiSNttc1mv,https://i.scdn.co/image/ab67616d0000b27343fc02bcfa7cd4e6bb66aa22,0.508,0.797,1,-5.854,1,0.0411,0.00261,7.56e-06,0.0916,0.361,126.982,audio_features,09DR0sHnQUhHOiSNttc1mv,spotify:track:09DR0sHnQUhHOiSNttc1mv,https://api.spotify.com/v1/tracks/09DR0sHnQUhHOiSNttc1mv,https://api.spotify.com/v1/audio-analysis/09DR0sHnQUhHOiSNttc1mv,234933,4
1,Motion Sickness,Stranger in the Alps,2017-09-22,['Phoebe Bridgers'],5xo8RrjJ9CVNrtRg2S3B1R,https://i.scdn.co/image/ab67616d0000b27368b90c3b34c3ac22856ddab8,0.651,0.546,1,-9.021,1,0.0357,0.774,0.0437,0.0842,0.623,107.021,audio_features,5xo8RrjJ9CVNrtRg2S3B1R,spotify:track:5xo8RrjJ9CVNrtRg2S3B1R,https://api.spotify.com/v1/tracks/5xo8RrjJ9CVNrtRg2S3B1R,https://api.spotify.com/v1/audio-analysis/5xo8RrjJ9CVNrtRg2S3B1R,229760,4
2,Scott Street,Stranger in the Alps (Deluxe Edition),2018-10-02,['Phoebe Bridgers'],21uFPefbgeR3QLVJWATlrr,https://i.scdn.co/image/ab67616d0000b27378d8e579122e4b9446954ee9,0.508,0.417,10,-9.632,1,0.0296,0.77,0.0928,0.0887,0.483,134.944,audio_features,21uFPefbgeR3QLVJWATlrr,spotify:track:21uFPefbgeR3QLVJWATlrr,https://api.spotify.com/v1/tracks/21uFPefbgeR3QLVJWATlrr,https://api.spotify.com/v1/audio-analysis/21uFPefbgeR3QLVJWATlrr,305001,4
3,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),Red (Taylor's Version),2021-11-12,['Taylor Swift'],01K4zKU104LyJ8gMb7227B,https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d,0.606,0.377,0,-9.455,1,0.0275,0.817,0.0,0.154,0.446,101.96,audio_features,01K4zKU104LyJ8gMb7227B,spotify:track:01K4zKU104LyJ8gMb7227B,https://api.spotify.com/v1/tracks/01K4zKU104LyJ8gMb7227B,https://api.spotify.com/v1/audio-analysis/01K4zKU104LyJ8gMb7227B,258813,4
4,Cool About It,the record,2023-03-31,['boygenius'],5PJH1U5Iie893v48Fl9yaC,https://i.scdn.co/image/ab67616d0000b27343fc02bcfa7cd4e6bb66aa22,0.565,0.203,2,-13.656,1,0.0332,0.902,0.0,0.115,0.408,93.213,audio_features,5PJH1U5Iie893v48Fl9yaC,spotify:track:5PJH1U5Iie893v48Fl9yaC,https://api.spotify.com/v1/tracks/5PJH1U5Iie893v48Fl9yaC,https://api.spotify.com/v1/audio-analysis/5PJH1U5Iie893v48Fl9yaC,180000,4
5,Ghost in the Machine,SOS,2022-12-09,['SZA'],4h5x3XHLVYFJaItKuO2rhy,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1,0.624,0.433,6,-9.572,1,0.0467,0.837,0.0294,0.113,0.589,124.979,audio_features,4h5x3XHLVYFJaItKuO2rhy,spotify:track:4h5x3XHLVYFJaItKuO2rhy,https://api.spotify.com/v1/tracks/4h5x3XHLVYFJaItKuO2rhy,https://api.spotify.com/v1/audio-analysis/4h5x3XHLVYFJaItKuO2rhy,218587,4
6,The Gold - Phoebe Bridgers Version,The Gold (Phoebe Bridgers Version),2018-07-13,['Manchester Orchestra'],7qcXUzPwoxSBFxjTbNrV0B,https://i.scdn.co/image/ab67616d0000b2738b54cdfa703cc0162b76dfb1,0.299,0.399,10,-12.176,1,0.0376,0.816,0.00117,0.147,0.302,158.253,audio_features,7qcXUzPwoxSBFxjTbNrV0B,spotify:track:7qcXUzPwoxSBFxjTbNrV0B,https://api.spotify.com/v1/tracks/7qcXUzPwoxSBFxjTbNrV0B,https://api.spotify.com/v1/audio-analysis/7qcXUzPwoxSBFxjTbNrV0B,233227,3
7,Kyoto,Punisher,2020-06-18,['Phoebe Bridgers'],4vjvx7Zxkb4AltGcZ0BBvI,https://i.scdn.co/image/ab67616d0000b273a91b75c9ef65ed8d760ff600,0.6,0.749,11,-6.889,1,0.0419,0.0467,0.295,0.0915,0.485,131.024,audio_features,4vjvx7Zxkb4AltGcZ0BBvI,spotify:track:4vjvx7Zxkb4AltGcZ0BBvI,https://api.spotify.com/v1/tracks/4vjvx7Zxkb4AltGcZ0BBvI,https://api.spotify.com/v1/audio-analysis/4vjvx7Zxkb4AltGcZ0BBvI,184524,4
8,Laugh Track (feat. Phoebe Bridgers),Laugh Track,2023-09-18,['The National'],7aprF5ADDukD1JWHXG9h9z,https://i.scdn.co/image/ab67616d0000b27387540965e82d8e1713603cd6,0.658,0.564,5,-9.422,1,0.0441,0.66,0.155,0.0636,0.597,146.029,audio_features,7aprF5ADDukD1JWHXG9h9z,spotify:track:7aprF5ADDukD1JWHXG9h9z,https://api.spotify.com/v1/tracks/7aprF5ADDukD1JWHXG9h9z,https://api.spotify.com/v1/audio-analysis/7aprF5ADDukD1JWHXG9h9z,264120,4
9,Emily I'm Sorry,the record,2023-03-31,['boygenius'],693xmBAOD4xwkS4W71W1Jn,https://i.scdn.co/image/ab67616d0000b27343fc02bcfa7cd4e6bb66aa22,0.581,0.38,11,-12.162,1,0.0473,0.897,0.175,0.104,0.489,135.939,audio_features,693xmBAOD4xwkS4W71W1Jn,spotify:track:693xmBAOD4xwkS4W71W1Jn,https://api.spotify.com/v1/tracks/693xmBAOD4xwkS4W71W1Jn,https://api.spotify.com/v1/audio-analysis/693xmBAOD4xwkS4W71W1Jn,214867,4
