,name,album,year,artists,track_id,image,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Ted Mosby' Love,Ted Mosby' Love,2018-12-07,['TM Vidal'],27H5aWyCua4GfP1JH2R8D4,https://i.scdn.co/image/ab67616d0000b2739796f737c4e0d037e80b57ad,0.623,0.11,8,-18.786,1,0.0926,0.808,0.255,0.294,0.27,152.021,audio_features,27H5aWyCua4GfP1JH2R8D4,spotify:track:27H5aWyCua4GfP1JH2R8D4,https://api.spotify.com/v1/tracks/27H5aWyCua4GfP1JH2R8D4,https://api.spotify.com/v1/audio-analysis/27H5aWyCua4GfP1JH2R8D4,176927,4
1,Simple Song,Simple Song,2012-01-10,['The Shins'],5EoKQDGE2zxrTfRFZF52u5,https://i.scdn.co/image/ab67616d0000b2737f6f8d24f3bba324727d6021,0.543,0.873,2,-5.148,1,0.0535,0.0127,0.0,0.124,0.34,120.009,audio_features,5EoKQDGE2zxrTfRFZF52u5,spotify:track:5EoKQDGE2zxrTfRFZF52u5,https://api.spotify.com/v1/tracks/5EoKQDGE2zxrTfRFZF52u5,https://api.spotify.com/v1/audio-analysis/5EoKQDGE2zxrTfRFZF52u5,255533,4
2,The Funeral,Everything All The Time,2006-03-21,['Band of Horses'],4o0NjemqhmsYLIMwlcosvW,https://i.scdn.co/image/ab67616d0000b27349d28829f3f22601ecdddd8a,0.316,0.769,0,-5.283,0,0.0422,0.0142,0.0,0.0928,0.127,122.507,audio_features,4o0NjemqhmsYLIMwlcosvW,spotify:track:4o0NjemqhmsYLIMwlcosvW,https://api.spotify.com/v1/tracks/4o0NjemqhmsYLIMwlcosvW,https://api.spotify.com/v1/audio-analysis/4o0NjemqhmsYLIMwlcosvW,321147,4
3,Voices,The Essential Cheap Trick,2004-03-02,['Cheap Trick'],53VHRWhYdLLkBli26hQ1hz,https://i.scdn.co/image/ab67616d0000b273bbf0089563c42c7710b7ca2f,0.456,0.691,4,-7.773,0,0.0265,0.252,0.0,0.366,0.531,94.854,audio_features,53VHRWhYdLLkBli26hQ1hz,spotify:track:53VHRWhYdLLkBli26hQ1hz,https://api.spotify.com/v1/tracks/53VHRWhYdLLkBli26hQ1hz,https://api.spotify.com/v1/audio-analysis/53VHRWhYdLLkBli26hQ1hz,262760,4
4,Soul Meets Body,Plans,2005-08-29,['Death Cab for Cutie'],5yc59J3MR3tVDPTOgwgRI5,https://i.scdn.co/image/ab67616d0000b273c985bcc18dd81da80839e5a9,0.621,0.853,2,-5.735,0,0.0253,0.0767,3.26e-06,0.0893,0.714,128.142,audio_features,5yc59J3MR3tVDPTOgwgRI5,spotify:track:5yc59J3MR3tVDPTOgwgRI5,https://api.spotify.com/v1/tracks/5yc59J3MR3tVDPTOgwgRI5,https://api.spotify.com/v1/audio-analysis/5yc59J3MR3tVDPTOgwgRI5,229413,4
5,Inside Of Love,Let Go,2002,['Nada Surf'],1M3fgZwZNwwo23WZIoFmcJ,https://i.scdn.co/image/ab67616d0000b273adf8aa82a383b4b42feac39f,0.394,0.762,9,-6.382,1,0.03,0.0248,0.0,0.12,0.412,178.721,audio_features,1M3fgZwZNwwo23WZIoFmcJ,spotify:track:1M3fgZwZNwwo23WZIoFmcJ,https://api.spotify.com/v1/tracks/1M3fgZwZNwwo23WZIoFmcJ,https://api.spotify.com/v1/audio-analysis/1M3fgZwZNwwo23WZIoFmcJ,298667,4
6,You Belong To Me,Over And Over,2005-01-01,['The 88'],5TSz2XVImJFn2iXNt5jtvP,https://i.scdn.co/image/ab67616d0000b273c3a852f3448f1dca59643ebd,0.476,0.282,1,-8.98,1,0.0359,0.902,1.52e-05,0.104,0.378,151.98,audio_features,5TSz2XVImJFn2iXNt5jtvP,spotify:track:5TSz2XVImJFn2iXNt5jtvP,https://api.spotify.com/v1/tracks/5TSz2XVImJFn2iXNt5jtvP,https://api.spotify.com/v1/audio-analysis/5TSz2XVImJFn2iXNt5jtvP,207893,4
7,(Nice Dream),The Bends,1995-03-28,['Radiohead'],4QbQ55kHcRNho6XLaPctT1,https://i.scdn.co/image/ab67616d0000b27322ca59e5c2d806439d5f08a2,0.262,0.567,9,-11.075,1,0.0344,0.161,0.263,0.225,0.377,172.857,audio_features,4QbQ55kHcRNho6XLaPctT1,spotify:track:4QbQ55kHcRNho6XLaPctT1,https://api.spotify.com/v1/tracks/4QbQ55kHcRNho6XLaPctT1,https://api.spotify.com/v1/audio-analysis/4QbQ55kHcRNho6XLaPctT1,233227,3
8,Here I Dreamt I Was an Architect,Castaways and Cutouts,2002-05-21,['The Decemberists'],2GRbFpacyEnbA3Mk7KcfM4,https://i.scdn.co/image/ab67616d0000b273243e90f4d1c5f3e3c2a52edf,0.411,0.754,7,-6.515,1,0.0294,0.101,2.83e-06,0.141,0.602,189.9,audio_features,2GRbFpacyEnbA3Mk7KcfM4,spotify:track:2GRbFpacyEnbA3Mk7KcfM4,https://api.spotify.com/v1/tracks/2GRbFpacyEnbA3Mk7KcfM4,https://api.spotify.com/v1/audio-analysis/2GRbFpacyEnbA3Mk7KcfM4,269147,4
9,I Will Come For You,Maricopa,2010-08-31,['Jack Dolgen'],0BggbhHic0tTfyqhUFqoXO,https://i.scdn.co/image/ab67616d0000b2734152c02c4a43334b6cb99206,0.462,0.8,7,-6.0,1,0.0381,0.0628,0.0258,0.308,0.149,108.214,audio_features,0BggbhHic0tTfyqhUFqoXO,spotify:track:0BggbhHic0tTfyqhUFqoXO,https://api.spotify.com/v1/tracks/0BggbhHic0tTfyqhUFqoXO,https://api.spotify.com/v1/audio-analysis/0BggbhHic0tTfyqhUFqoXO,225133,4
